time,g_x,g_y,g_z,a_x,a_y,a_z
04-19-2021_16-17-35,7.061219492599999,-3.0580272828,4.905286329999999,-0.1877592484372025,0.08113053944817392,1.0969667056479986
04-19-2021_16-17-35,7.609175867999999,-2.9240292171999998,3.9290147091999996,-0.715448639469863,-0.04663301595172349,0.3751094353309688
04-19-2021_16-17-35,9.6358966102,-4.771288264399999,2.8019952645999995,-0.5032820522743023,0.39842594330683057,0.7544458399441114
04-19-2021_16-17-35,9.178867493599999,-4.7425743932,7.2191457842,-0.4573308055616392,0.4342870052814015,0.17316938672131238
04-19-2021_16-17-35,7.6139615132,-4.2137605985999995,3.4911281733999995,-0.5983206841993061,0.6667703158009587,-0.6433174539772849
04-19-2021_16-17-35,6.259623921599999,-4.1419759206,5.754738353,-1.2431380305025237,0.8088510252211221,-0.6375905923691785
04-19-2021_16-17-35,8.6309111182,-1.1964112999999998,4.8000021356,-1.854003268700539,0.07526732399225546,-1.9378608851049541
04-19-2021_16-17-35,8.9635134596,-6.4462640844,1.4931213023999999,-2.526091384566168,0.4997368522311889,-0.8208501638285831
04-19-2021_16-17-35,7.623532803599999,-7.106683122,-0.26081766339999995,-1.5821136961632973,0.26929884942881255,-0.9981101659842572
04-19-2021_16-17-36,10.3681003258,-5.9365928706,1.4333007374,-0.38274525080844396,-0.02399827721492203,-0.48719229823247967
04-19-2021_16-17-36,7.331608446399999,-4.5343988269999995,2.9216363945999997,-0.3913355432206036,-0.1366265555076811,-0.11440087831431582
04-19-2021_16-17-36,8.3318082932,-3.6203405938,4.3740797127999995,-0.590957576417455,0.8937994724080336,-0.06694973927571998
04-19-2021_16-17-36,7.817351434199999,-4.271188340999999,3.1058837348,-0.32834006553143325,0.567095653050345,0.23834652597547562
04-19-2021_16-17-36,8.3318082932,-6.2356956956,2.4311077616,-0.2270291566070749,0.3342032809873517,0.4052436356974334
04-19-2021_16-17-36,7.8364940149999995,-5.714060368799999,2.2181465501999997,-0.33843025026952545,0.4956462367968272,0.6876324545162035
04-19-2021_16-17-36,10.5140625044,-4.3764725354,4.003192209799999,0.026179938779914945,0.5557782836819443,0.485692405906547
04-19-2021_16-17-36,9.0759761218,-4.4362931003999995,4.070191242599999,-0.5628686837681712,0.19062267924125567,-0.5264622064023521
04-19-2021_16-17-36,5.084748025,-5.5106704478,5.8145589179999995,-1.335176877775662,0.15762504807073788,-0.7398559782282212
04-19-2021_16-17-36,9.095118702599999,-4.6085763276,4.797609313,-0.643453807825097,-0.06313183153698239,-1.44044204828657
04-19-2021_16-17-36,9.803394192199999,-3.0436703471999995,3.7136606751999994,-1.5481615880580952,0.7394469166847851,-1.696378220629801
04-19-2021_16-17-36,7.3746792532,-5.058426976399999,4.0630127748,-1.2026409377023426,0.46823911338660373,-0.8237135946326363
04-19-2021_16-17-36,7.2598237683999995,-4.979463830599999,1.3447663012,-0.808578317525498,0.33502140407422404,-0.787034409571193
04-19-2021_16-17-36,8.6428752312,-6.125625855999999,1.9334006607999998,-0.7229481010995262,0.03463387734426248,0.04036073895236887
04-19-2021_16-17-36,9.5904329808,-5.0297131052,2.4622144554000003,0.3220677885320786,0.19744037163185854,0.42910555906454334
04-19-2021_16-17-37,7.728816997999999,-3.7902309983999998,3.3451659947999994,-0.40347103567587667,0.8074874867430015,-0.04431500053891852
04-19-2021_16-17-37,7.913064338199999,-3.6729826909999996,3.337987527,-0.21284835643462097,0.3291581886183056,0.3427935733995113
04-19-2021_16-17-37,8.2337025666,-5.266602542599999,2.9742784918,-0.21680261802117062,0.3358395271610964,0.45187665164915686
04-19-2021_16-17-37,8.877371845999999,-4.5367916496,3.314059301,-0.131581463138635,0.5291892833585932,0.6359543461954338
04-19-2021_16-17-37,9.188438783999999,-4.9459643142,6.484549245999999,-0.27557112642816717,0.0380427235395639,-0.37101881989660707
04-19-2021_16-17-37,8.8845503138,-4.450650035999999,4.4434715682,-0.5687318992240897,-0.2896155727528091,-0.9321149036432216
04-19-2021_16-17-37,9.803394192199999,-2.6895326024,5.1780681064000005,-0.9122072418626613,0.1375810324423655,-1.2693179692824386
04-19-2021_16-17-37,5.977270854799999,-4.462614148999999,4.7258246349999995,-0.7108126086442531,0.6614525157362885,0.17289667902568828
04-19-2021_16-17-37,7.9633136127999995,-3.1417760737999996,1.950150419,-0.5180082678380046,0.5709135607890826,-0.24748223377888345
04-19-2021_16-17-37,8.8749790234,-6.738188441599999,5.048855686,0.2384828798232877,-0.5478697605088451,-0.354110942767912
04-19-2021_16-17-37,6.9176501366,-5.893522063799999,3.8476587407999996,0.7972609481570972,-0.4638757902566179,0.05917756995043274
04-19-2021_16-17-37,8.7984087002,-5.946164161,6.1208402108,0.9413869652944415,0.02304380028023763,0.02454369260617026
04-19-2021_16-17-37,8.709874264,-3.0221349438,4.077369710399999,0.5135085908602066,0.3262947578142524,0.8546659180859733
04-19-2021_16-17-37,8.8917287816,-5.1541398804,3.302095188,0.054132477581386625,0.7638542554431433,0.49919143683994066
04-19-2021_16-17-37,10.5212409722,-1.2203395259999998,4.8358944746,0.1499892325932627,0.43455971297702567,0.2710714494503693
04-19-2021_16-17-38,7.9034930478,-3.4049865597999993,4.6372901988,-1.526072264712542,0.2301652951067522,-0.9542042269887748
04-19-2021_16-17-38,8.542376681999999,-7.0253271536,4.462614148999999,-1.9793124548398193,0.08822093953440088,-0.9805205196165019
04-19-2021_16-17-38,9.4444708022,-3.6658042231999994,3.9481572899999997,-1.4396239251996978,0.2600267877775927,-1.585931603902035
04-19-2021_16-17-38,8.554340795,-5.2713881877999995,2.8450660714,-1.3125421390388607,0.3520656350507312,-1.0568786743912537
04-19-2021_16-17-38,7.6426753843999995,-4.962714072399999,1.1748758966,-0.45992152867006825,0.23807381827985152,-1.1211013367107325
04-19-2021_16-17-38,9.1238325738,-7.525427076999999,3.7447673689999994,-0.39269908169872414,-0.02304380028023763,0.12544553998709243
04-19-2021_16-17-38,11.4903341252,-4.1659041466,1.2370892842,-0.4016984356543199,0.6442719309119693,0.2193933411295997
04-19-2021_16-17-38,7.759923691799999,-3.1226334929999995,2.9479574431999995,-0.7724445478553029,1.1071932442339028,-0.598184330351494
04-19-2021_16-17-38,6.4079789228,-3.1298119607999997,2.5411776011999994,-0.7191301933607886,0.6966318084717992,0.39556251250277735
04-19-2021_16-17-38,8.3700934548,-5.130211654399999,2.0961125976,-0.5780039608753096,0.7438102398147709,0.2862067265575076
04-19-2021_16-17-38,8.49452023,-3.2087751065999996,2.8378876035999996,-0.5395521757923095,0.5939573610693203,0.4293782667601675
04-19-2021_16-17-38,9.7651090306,-5.5106704478,6.9176501366,-0.6164557459583097,0.4983733137530683,-0.17016960206944712
04-19-2021_16-17-38,5.647061336,-6.664010941,5.716453191399999,-1.7281486671700104,0.2457096337573267,0.003681553890925539
04-19-2021_16-17-38,9.3463650756,-3.8859439023999998,4.850251410199999,-0.961567334770626,0.012817261694333358,-1.3774465705973997
04-19-2021_16-17-38,9.439685157,-3.1585258319999996,4.474578262,-1.808461083531312,0.8357127332400973,-1.5870224346845314
04-19-2021_16-17-38,7.369893607999999,-4.4434715682,3.1585258319999996,-1.7708274215351842,0.8175776714810937,-0.8046240559389484
04-19-2021_16-17-39,7.5780691741999995,-5.094319315399999,0.6891329088,-1.2134128916794953,0.538324991162001,-1.2164126763313605
04-19-2021_16-17-39,8.039883935999999,-6.7764736031999995,0.19860427579999998,-1.1974594914854846,-0.12694543231302508,-0.3959715740462135
04-19-2021_16-17-39,9.2937229784,-5.8600225474,3.1752755902,-0.012817261694333358,0.31715905001084455,-0.14167164787672723
04-19-2021_16-17-39,8.6093757148,-3.2638100264,4.785645199999999,-0.07226753934039021,1.0810133054539879,-0.27229863408067784
04-19-2021_16-17-39,6.81954441,-2.9120651042,4.0151563228,-0.25593617234323096,0.40074395871963553,0.4100160203708554
04-19-2021_16-17-39,7.525427076999999,-5.711667546199999,3.086741154,-0.36570101983193687,0.406607174175554,0.8181230868723419
04-19-2021_16-17-39,9.2937229784,-5.290530768599999,4.651647134399999,0.09940195505498955,0.33174891172673465,0.1892591407631351
04-19-2021_16-17-39,9.8799645154,-2.9216363945999997,5.766702466,-0.18407769454627695,0.10171997046779452,-0.25416357232167425
04-19-2021_16-17-39,7.173682154799999,-4.721038989799999,7.046862557,-1.5609788497524284,-0.24325526449670967,-0.6584527310844233
04-19-2021_16-17-39,9.5521478192,-4.206582130799999,4.354937132,-0.9119345341670372,-0.3459297118991886,-0.8008061482002108
04-19-2021_16-17-39,9.3726861242,-1.9190437251999999,2.4622144554000003,-1.2211850610047825,0.33161255787892263,-1.567387480599595
04-19-2021_16-17-39,6.798009006599999,-6.3003019058,5.094319315399999,-1.095875874865502,0.3925627278509121,-0.8327129485882321
04-19-2021_16-17-39,6.8721865071999995,-5.6231331099999995,1.4739787215999998,-0.3652919582885007,0.7346745320113631,-0.3785182815262702
04-19-2021_16-17-39,7.235895542399999,-5.694917788,4.778466732199999,0.7244479934254588,-0.8636652720415691,-0.26520823399445087
04-19-2021_16-17-39,11.8014010632,-5.1637111708,3.3834511563999996,0.8723919183015406,-0.0399516774089327,0.36774632754911774
04-19-2021_16-17-39,6.594619085599999,-3.9194434187999994,2.8426732488,0.1392172786161102,0.6456354693900899,0.9672941963787324
04-19-2021_16-17-40,8.0949188558,-3.3355947043999996,3.8165520469999996,0.40197114334994405,0.3179771730977169,1.105284290364534
04-19-2021_16-17-40,6.884150620199999,-6.290730615399999,2.5531417141999997,0.34156638876920276,0.47969283660281653,0.46633015951723494
04-19-2021_16-17-40,8.3078800672,-1.698904046,4.223331889,0.18625935611126987,0.18885007921969893,0.11808243220524135
04-19-2021_16-17-40,8.599804424399998,-3.0675985731999997,5.706881901,-0.7641269631387674,0.1480802787238939,-0.6328182076957565
04-19-2021_16-17-40,9.064012008799999,-7.030112798799999,4.1778682596,-1.5035738798235525,0.3307944347920503,-0.538188637314189
04-19-2021_16-17-40,10.1001041946,-3.4145578501999996,4.113262049399999,-1.0645144898687289,0.07417649320975901,-0.9524316269672182
04-19-2021_16-17-40,6.668796586199999,-4.1180476945999995,0.562313311,-2.040126270963997,0.8340764870663526,-1.2281391072431973
04-19-2021_16-17-40,3.7280176108,-8.350950873999999,2.3904297774,-0.08713010875190443,0.7307202704248135,-0.9207975342748209
