time,g_x,g_y,g_z,a_x,a_y,a_z
06-02-2020_12-49-57,0.32303105099999996,-1.0552347666,-9.375078946799999,0.75,0.0859375,0.765625
06-02-2020_12-49-57,0.31345976059999997,-1.040877831,-9.3702933016,0.8125,0.2265625,0.3984375
06-02-2020_12-49-57,0.32063822839999995,-1.0456634761999999,-9.3774717694,0.9453125,0.0703125,0.625
06-02-2020_12-49-57,0.32303105099999996,-1.0384850084,-9.387043059799998,0.515625,0.0390625,0.609375
06-02-2020_12-49-57,0.3326023414,-1.0480562988,-9.375078946799999,0.8359375,0.3125,0.6640625
06-02-2020_12-49-57,0.33738798659999997,-1.0576275892,-9.355936366,0.5390625,0.015625,0.4375
06-02-2020_12-49-57,0.31106693799999996,-1.0456634761999999,-9.3511507208,0.359375,0.1484375,0.4375
06-02-2020_12-49-57,0.3182454058,-1.0336993632,-9.365507656399998,0.6796875,0.171875,0.609375
06-02-2020_12-49-57,0.3038884702,-1.040877831,-9.3990071728,0.421875,0.1015625,0.484375
06-02-2020_12-49-58,0.31345976059999997,-1.0600204117999998,-9.384650237199999,0.3359375,0.265625,0.640625
06-02-2020_12-49-58,0.3182454058,-1.040877831,-9.379864591999999,1.0078125,0.1953125,0.2421875
06-02-2020_12-49-58,0.3326023414,-1.0600204117999998,-9.3631148338,0.59375,0.15625,0.5
06-02-2020_12-49-58,0.31106693799999996,-1.0480562988,-9.367900479,0.6875,0.3203125,0.609375
06-02-2020_12-49-58,0.31345976059999997,-1.0360921857999998,-9.3774717694,0.7890625,-0.015625,0.640625
06-02-2020_12-49-58,0.31345976059999997,-1.0432706535999998,-9.3822574146,0.7578125,0.171875,0.421875
06-02-2020_12-49-58,0.3182454058,-1.0624132344,-9.360722011199998,0.921875,0.125,0.34375
06-02-2020_12-49-58,0.32063822839999995,-1.0600204117999998,-9.3702933016,0.859375,0.4140625,0.7734375
06-02-2020_12-49-58,0.3278166962,-1.0504491214,-9.387043059799998,0.1796875,0.078125,0.84375
06-02-2020_12-49-59,0.3326023414,-1.0313065406,-9.3990071728,1.2578125,0.2421875,0.6484375
06-02-2020_12-49-59,0.32063822839999995,-1.0313065406,-9.3511507208,0.8984375,0.3359375,0.5234375
06-02-2020_12-49-59,0.33499516399999996,-1.040877831,-9.379864591999999,0.9453125,0.015625,0.40625
06-02-2020_12-49-59,0.3062812928,-1.0456634761999999,-9.384650237199999,0.4609375,0.1484375,0.7421875
06-02-2020_12-49-59,0.32303105099999996,-1.0504491214,-9.384650237199999,0.578125,0.0625,0.671875
06-02-2020_12-49-59,0.32063822839999995,-1.0671988796,-9.365507656399998,1.015625,0.0078125,0.6484375
06-02-2020_12-49-59,0.32542387359999997,-1.0480562988,-9.365507656399998,0.75,-0.015625,0.6015625
06-02-2020_12-49-59,0.3326023414,-1.040877831,-9.367900479,0.8828125,0.078125,0.8515625
06-02-2020_12-49-59,0.33499516399999996,-1.0504491214,-9.3702933016,0.8671875,0.125,0.484375
06-02-2020_12-50-00,0.32542387359999997,-1.0360921857999998,-9.4061856406,0.640625,0.203125,0.484375
06-02-2020_12-50-00,0.3302095188,-1.0456634761999999,-9.3702933016,0.3515625,0.1328125,0.2578125
06-02-2020_12-50-00,0.3182454058,-1.0360921857999998,-9.360722011199998,0.7421875,-0.0546875,0.6328125
06-02-2020_12-50-00,0.31106693799999996,-1.0480562988,-9.379864591999999,0.6015625,0.1015625,0.484375
