time,g_x,g_y,g_z,a_x,a_y,a_z
05-18-2020_14-28-22,-7.274180703999999,-2.6153551017999996,-5.443671415,-0.3125,-0.1171875,0.3359375
05-18-2020_14-28-22,-7.269395058799999,-2.6009981662,-5.424528834199999,-0.1796875,-0.0078125,0.328125
05-18-2020_14-28-22,-7.250252477999999,-2.5866412305999997,-5.448457060199999,-0.34375,0.0546875,0.5
05-18-2020_14-28-22,-7.271787881399999,-2.5914268758,-5.4412785924,0.046875,0.0546875,0.2578125
05-18-2020_14-28-22,-7.269395058799999,-2.5986053435999996,-5.419743189,0.140625,-0.171875,0.671875
05-18-2020_14-28-22,-7.2789663492,-2.5866412305999997,-5.424528834199999,-0.21875,0.0546875,0.3046875
05-18-2020_14-28-22,-7.262216591,-2.6009981662,-5.426921656799999,-0.203125,-0.171875,0.421875
05-18-2020_14-28-23,-7.2598237683999995,-2.5698914724,-5.431707302,-0.296875,0.1796875,0.40625
05-18-2020_14-28-23,-7.269395058799999,-2.6009981662,-5.4412785924,0.1796875,-0.1015625,0.2109375
05-18-2020_14-28-23,-7.274180703999999,-2.5890340532000002,-5.3982077855999995,-0.125,-0.1171875,0.1796875
05-18-2020_14-28-23,-7.274180703999999,-2.5938196984,-5.424528834199999,-0.0078125,-0.0078125,0.6484375
05-18-2020_14-28-23,-7.271787881399999,-2.6009981662,-5.4149575438,-0.0703125,0.09375,0.1328125
05-18-2020_14-28-23,-7.295716107399999,-2.5986053435999996,-5.426921656799999,0.5,-0.078125,0.6328125
05-18-2020_14-28-23,-7.2670022362,-2.5842484079999997,-5.431707302,0.078125,-0.0078125,0.21875
05-18-2020_14-28-23,-7.276573526599999,-2.5938196984,-5.4006006081999995,-0.2265625,-0.0546875,0.46875
05-18-2020_14-28-23,-7.274180703999999,-2.5842484079999997,-5.431707302,-0.4375,0.046875,0.3671875
05-18-2020_14-28-24,-7.2646094136,-2.5962125209999996,-5.431707302,-0.2890625,-0.2109375,0.1015625
05-18-2020_14-28-24,-7.2670022362,-2.6009981662,-5.4149575438,-0.328125,-0.171875,0.46875
05-18-2020_14-28-24,-7.269395058799999,-2.5962125209999996,-5.4412785924,-0.03125,0.1953125,0.484375
05-18-2020_14-28-24,-7.269395058799999,-2.5914268758,-5.4149575438,-0.3984375,-0.0703125,0.5546875
