time,g_x,g_y,g_z,a_x,a_y,a_z
05-18-2020_14-57-15,-7.334001268999999,-2.4478575198,-5.3814580274,-0.046875,-0.1953125,0.625
05-18-2020_14-57-15,-7.3746792532,-2.4430718745999997,-5.391029317799999,0.2109375,-0.2109375,0.4296875
05-18-2020_14-57-15,-7.3268228012,-2.4358934068,-5.3814580274,0.078125,0.3984375,-0.1484375
05-18-2020_14-57-16,-7.3531438497999995,-2.4263221163999997,-5.359922623999999,-0.109375,-0.234375,0.359375
05-18-2020_14-57-16,-7.357929495,-2.4430718745999997,-5.3694939144,-0.1015625,-0.3984375,0.671875
05-18-2020_14-57-16,-7.3387869142,-2.4311077616,-5.364708269199999,-0.109375,0.1796875,0.53125
05-18-2020_14-57-16,-7.350751027199999,-2.4239292938,-5.3336015754,-0.5546875,-0.359375,0.2265625
05-18-2020_14-57-16,-7.348358204599999,-2.4382862293999996,-5.395814963,-0.015625,0.1484375,0.1171875
05-18-2020_14-57-16,-7.343572559399999,-2.4550359876,-5.3766723822,0.0546875,0.0625,0.359375
05-18-2020_14-57-16,-7.4560352216,-2.5387847785999997,-5.3431728658,0.0625,-0.109375,0.484375
05-18-2020_14-57-16,-7.451249576399999,-2.5483560689999996,-5.4723852862,-0.109375,0.28125,0.1484375
05-18-2020_14-57-16,-7.343572559399999,-2.4741785684,-5.422136011599999,0.0546875,0.390625,0.1015625
05-18-2020_14-57-17,-7.3770720758,-2.5339991334,-5.4149575438,-0.4296875,-0.3359375,0.7421875
05-18-2020_14-57-17,-7.345965381999999,-2.4335005842,-5.350351333599999,-0.234375,0.2109375,0.4296875
05-18-2020_14-57-17,-7.369893607999999,-2.4717857457999997,-5.3671010917999995,-0.21875,0.3203125,0.3046875
05-18-2020_14-57-17,-7.384250543599999,-2.4406790519999997,-5.3168518172,-0.0859375,-0.4609375,0.8203125
05-18-2020_14-57-17,-7.372286430599999,-2.4335005842,-5.3431728658,0.3828125,0.6328125,0.3125
05-18-2020_14-57-17,-7.367500785399999,-2.3497517932,-5.386243672599999,-0.25,0.1484375,-0.0078125
05-18-2020_14-57-17,-7.3651079628,-2.5435704238,-5.529813028599999,0.625,1.265625,-0.6796875
05-18-2020_14-57-17,-7.331608446399999,-2.4478575198,-5.4006006081999995,0.1953125,0.7578125,0.0390625
05-18-2020_14-57-18,-7.3603223176,-2.4119651807999998,-5.395814963,0.171875,0.0234375,0.5703125
05-18-2020_14-57-18,-7.3890361888,-2.3712871966,-5.352744156199999,-0.515625,-1.0,0.9375
05-18-2020_14-57-18,-7.3746792532,-2.4741785684,-5.3407800432,-0.1171875,0.0703125,0.4453125
05-18-2020_14-57-18,-7.3387869142,-2.4502503424,-5.352744156199999,0.28125,0.203125,0.1171875
05-18-2020_14-57-18,-7.3651079628,-2.4526431649999996,-5.347958510999999,-0.4609375,0.015625,0.421875
05-18-2020_14-57-18,-7.345965381999999,-2.4406790519999997,-5.3694939144,-0.21875,0.03125,0.328125
05-18-2020_14-57-18,-7.3531438497999995,-2.4358934068,-5.3431728658,-0.0703125,-0.0078125,0.2734375
05-18-2020_14-57-18,-7.355536672399999,-2.4430718745999997,-5.3575298014,-0.0859375,0.171875,0.421875
05-18-2020_14-57-18,-7.348358204599999,-2.3425733254,-5.4341001246,0.015625,-0.109375,0.4296875
05-18-2020_14-57-19,-7.3244299786,-2.7613172803999997,-5.3048877041999996,0.71875,0.578125,0.4296875
05-18-2020_14-57-19,-7.281359171799999,-2.4598216327999998,-5.422136011599999,-0.9375,-0.4921875,-0.8671875
05-18-2020_14-57-19,-7.410571592199999,-2.4478575198,-5.620740287399999,0.375,2.1953125,-1.4375
05-18-2020_14-57-19,-7.348358204599999,-2.3306092123999997,-5.3790652048,-0.4609375,-0.078125,0.3671875
05-18-2020_14-57-19,-7.3363940916,-2.5052852621999997,-5.3766723822,0.078125,0.5859375,0.0
05-18-2020_14-57-19,-7.357929495,-2.380858487,-5.412564721199999,-0.265625,-0.234375,0.5859375
05-18-2020_14-57-19,-7.355536672399999,-2.4717857457999997,-5.347958510999999,-0.2109375,-0.296875,0.359375
05-18-2020_14-57-19,-7.343572559399999,-2.4550359876,-5.347958510999999,-0.3359375,-0.0546875,0.6875
05-18-2020_14-57-19,-7.3531438497999995,-2.4454646972,-5.362315446599999,0.0,-0.171875,0.6328125
05-18-2020_14-57-20,-7.355536672399999,-2.4622144554000003,-5.3551369788,-0.2421875,0.0546875,0.1953125
05-18-2020_14-57-20,-7.345965381999999,-2.4430718745999997,-5.3551369788,0.015625,0.2265625,0.453125
05-18-2020_14-57-20,-7.348358204599999,-2.4598216327999998,-5.374279559599999,0.1171875,-0.4765625,0.6953125
05-18-2020_14-57-20,-7.345965381999999,-2.4478575198,-5.3407800432,-0.09375,-0.0078125,0.578125
05-18-2020_14-57-20,-7.348358204599999,-2.428714939,-5.3814580274,-0.2734375,-0.3203125,0.359375
05-18-2020_14-57-20,-7.355536672399999,-2.4598216327999998,-5.3431728658,-0.125,-0.3125,0.6484375
05-18-2020_14-57-20,-7.343572559399999,-2.4358934068,-5.374279559599999,0.078125,0.125,0.0078125
05-18-2020_14-57-20,-7.343572559399999,-2.4335005842,-5.3431728658,0.015625,-0.078125,0.3828125
05-18-2020_14-57-20,-7.3603223176,-2.4335005842,-5.362315446599999,-0.2109375,0.1171875,0.25
05-18-2020_14-57-21,-7.3411797368,-2.4335005842,-5.3431728658,-0.4375,-0.1953125,0.3359375
05-18-2020_14-57-21,-7.3411797368,-2.4598216327999998,-5.352744156199999,-0.2109375,0.171875,0.15625
05-18-2020_14-57-21,-7.345965381999999,-2.4574288101999997,-5.362315446599999,-0.03125,0.2421875,0.171875
05-18-2020_14-57-21,-7.310073042999999,-2.3976082452,-5.2833523008,-0.0703125,0.078125,0.6796875
05-18-2020_14-57-21,-7.350751027199999,-2.4526431649999996,-5.362315446599999,-0.1640625,-0.1484375,0.1875
05-18-2020_14-57-21,-7.350751027199999,-2.4741785684,-5.3814580274,0.046875,0.0,0.4765625
05-18-2020_14-57-21,-7.345965381999999,-2.4670001006,-5.335994397999999,0.0625,-0.2734375,0.2109375
05-18-2020_14-57-21,-7.245466832799999,-2.4717857457999997,-5.3024948815999995,-0.140625,-0.1171875,0.296875
05-18-2020_14-57-22,-7.403393124399999,-2.5004996169999996,-5.419743189,-0.3046875,-0.359375,0.5703125
05-18-2020_14-57-22,-7.355536672399999,-2.4215364712,-5.3766723822,0.296875,0.5390625,0.140625
05-18-2020_14-57-22,-7.3387869142,-2.4358934068,-5.391029317799999,-0.0078125,-0.125,0.1875
05-18-2020_14-57-22,-7.403393124399999,-2.4550359876,-5.3934221404,-0.296875,0.140625,0.4609375
05-18-2020_14-57-22,-7.334001268999999,-2.476571391,-5.38385085,0.1953125,0.0625,0.4140625
05-18-2020_14-57-22,-7.334001268999999,-2.4382862293999996,-5.3551369788,-0.46875,0.0078125,0.2265625
05-18-2020_14-57-22,-7.334001268999999,-2.4670001006,-5.3575298014,-0.5625,0.0546875,0.4296875
05-18-2020_14-57-22,-7.3363940916,-2.4526431649999996,-5.371886736999999,0.0625,-0.3359375,0.390625
05-18-2020_14-57-22,-7.350751027199999,-2.4502503424,-5.328815930199999,-0.28125,0.15625,0.71875
05-18-2020_14-57-23,-7.345965381999999,-2.4837498588,-5.3694939144,0.109375,0.125,0.3515625
05-18-2020_14-57-23,-7.3627151402,-2.4430718745999997,-5.38385085,-0.375,0.15625,0.2890625
05-18-2020_14-57-23,-7.334001268999999,-2.4263221163999997,-5.3575298014,-0.09375,0.140625,0.484375
05-18-2020_14-57-23,-7.367500785399999,-2.4478575198,-5.364708269199999,0.140625,-0.0078125,0.4921875
05-18-2020_14-57-23,-7.350751027199999,-2.4382862293999996,-5.371886736999999,-0.1953125,0.21875,0.2890625
05-18-2020_14-57-23,-7.3363940916,-2.4526431649999996,-5.364708269199999,-0.1171875,0.1328125,0.484375
05-18-2020_14-57-23,-7.3363940916,-2.4622144554000003,-5.3671010917999995,-0.0859375,-0.0078125,0.1953125
05-18-2020_14-57-23,-7.357929495,-2.4454646972,-5.3694939144,0.0390625,-0.1875,0.0703125
05-18-2020_14-57-23,-7.350751027199999,-2.4478575198,-5.364708269199999,0.09375,0.125,0.3359375
05-18-2020_14-57-24,-7.343572559399999,-2.4574288101999997,-5.359922623999999,0.015625,-0.125,0.6328125
05-18-2020_14-57-24,-7.334001268999999,-2.4382862293999996,-5.3575298014,-0.078125,-0.046875,0.4140625
05-18-2020_14-57-24,-7.372286430599999,-2.4574288101999997,-5.359922623999999,-0.0546875,0.015625,0.2109375
05-18-2020_14-57-24,-7.369893607999999,-2.4622144554000003,-5.352744156199999,-0.296875,0.0078125,0.1875
05-18-2020_14-57-24,-7.348358204599999,-2.4430718745999997,-5.3694939144,0.203125,0.171875,0.2109375
05-18-2020_14-57-24,-7.3411797368,-2.4358934068,-5.3551369788,0.0546875,-0.0390625,0.5390625
05-18-2020_14-57-24,-7.3387869142,-2.3928225999999997,-5.331208752799999,-0.0390625,-0.203125,-0.125
05-18-2020_14-57-24,-7.3292156238,-2.4119651807999998,-5.347958510999999,-0.0546875,0.2109375,0.6015625
05-18-2020_14-57-25,-7.3531438497999995,-2.4454646972,-5.3575298014,-0.4296875,-0.1171875,0.515625
05-18-2020_14-57-25,-7.3603223176,-2.4717857457999997,-5.3383872206,-0.0390625,-0.2109375,0.53125
05-18-2020_14-57-25,-7.3603223176,-2.4550359876,-5.3455656884,-0.0078125,0.0625,0.15625
05-18-2020_14-57-25,-7.3531438497999995,-2.4813570361999995,-5.3455656884,-0.46875,0.078125,0.265625
05-18-2020_14-57-25,-7.3172515108,-2.4023938904,-5.3072805268,0.125,-0.0234375,0.1328125
05-18-2020_14-57-25,-7.3363940916,-2.4717857457999997,-5.371886736999999,-0.1015625,0.2265625,-0.0234375
05-18-2020_14-57-25,-7.3770720758,-2.4598216327999998,-5.458028350599999,0.1171875,0.578125,0.125
05-18-2020_14-57-25,-7.310073042999999,-2.3545374384,-5.3551369788,-0.4375,0.1015625,0.390625
05-18-2020_14-57-25,-7.3268228012,-2.4215364712,-5.300102058999999,-0.109375,0.234375,0.234375
05-18-2020_14-57-26,-7.355536672399999,-2.4095723581999997,-5.3407800432,0.0546875,0.2890625,0.5859375
05-18-2020_14-57-26,-7.367500785399999,-2.4478575198,-5.3694939144,0.1796875,0.1171875,0.2734375
05-18-2020_14-57-26,-7.357929495,-2.464607278,-5.326423107599999,-0.21875,0.0546875,0.390625
05-18-2020_14-57-26,-7.3651079628,-2.4502503424,-5.3814580274,-0.03125,0.21875,0.515625
05-18-2020_14-57-26,-7.3220371559999995,-2.4478575198,-5.3814580274,0.09375,0.0390625,0.046875
05-18-2020_14-57-26,-7.3746792532,-2.4478575198,-5.3336015754,-0.0078125,0.0234375,0.1015625
05-18-2020_14-57-26,-7.350751027199999,-2.464607278,-5.3790652048,-0.0859375,-0.0546875,0.2421875
05-18-2020_14-57-26,-7.343572559399999,-2.464607278,-5.3455656884,0.109375,0.1796875,0.6484375
05-18-2020_14-57-26,-7.3627151402,-2.4574288101999997,-5.347958510999999,0.3046875,0.015625,0.15625
05-18-2020_14-57-27,-7.3651079628,-2.4574288101999997,-5.359922623999999,-0.0859375,0.34375,0.34375
05-18-2020_14-57-27,-7.3627151402,-2.4598216327999998,-5.359922623999999,0.3125,-0.0859375,0.2109375
05-18-2020_14-57-27,-7.3531438497999995,-2.4526431649999996,-5.374279559599999,-0.40625,0.1328125,0.15625
05-18-2020_14-57-27,-7.3531438497999995,-2.4622144554000003,-5.3814580274,-0.265625,-0.03125,0.59375
05-18-2020_14-57-27,-7.3627151402,-2.4693929231999996,-5.359922623999999,-0.625,0.03125,0.3125
05-18-2020_14-57-27,-7.477570624999999,-2.4861426814,-5.4029934308,-0.03125,0.296875,0.4609375
05-18-2020_14-57-27,-7.3411797368,-2.4239292938,-5.362315446599999,-0.234375,0.1796875,0.34375
05-18-2020_14-57-27,-7.334001268999999,-2.4837498588,-5.3192446398,0.140625,-0.46875,0.59375
05-18-2020_14-57-28,-7.3411797368,-2.4502503424,-5.388636495199999,0.140625,0.390625,0.1953125
05-18-2020_14-57-28,-7.343572559399999,-2.4430718745999997,-5.3934221404,0.4140625,-0.171875,0.5078125
05-18-2020_14-57-28,-7.367500785399999,-2.4406790519999997,-5.3575298014,-0.5,-0.0703125,0.5546875
05-18-2020_14-57-28,-7.357929495,-2.4574288101999997,-5.362315446599999,-0.109375,-0.0703125,0.375
05-18-2020_14-57-28,-7.355536672399999,-2.4406790519999997,-5.3671010917999995,0.1640625,-0.1015625,0.6328125
05-18-2020_14-57-28,-7.331608446399999,-2.4622144554000003,-5.374279559599999,-0.0859375,0.15625,0.328125
05-18-2020_14-57-28,-7.3363940916,-2.4550359876,-5.374279559599999,-0.2734375,-0.0546875,0.375
05-18-2020_14-57-28,-7.350751027199999,-2.4526431649999996,-5.347958510999999,-0.0703125,0.09375,0.3515625
05-18-2020_14-57-28,-7.4584280442,-2.6297120374,-5.386243672599999,-0.0078125,0.015625,0.0234375
05-18-2020_14-57-29,-7.166503687,-2.4119651807999998,-5.254638429599999,-0.65625,-0.625,0.7265625
05-18-2020_14-57-29,-7.3986074792,-2.5507488916,-5.386243672599999,0.2265625,0.25,0.4296875
05-18-2020_14-57-29,-7.3531438497999995,-2.4454646972,-5.4006006081999995,0.5234375,0.0625,0.2578125
05-18-2020_14-57-29,-7.3962146566,-2.476571391,-5.3168518172,-0.21875,-0.0078125,0.59375
05-18-2020_14-57-29,-7.3363940916,-2.3952154225999998,-5.2953164138,-0.5234375,-0.21875,0.234375
05-18-2020_14-57-29,-7.3005017526,-2.3832513096,-5.331208752799999,-0.28125,0.3359375,0.25
05-18-2020_14-57-29,-7.3531438497999995,-2.4861426814,-5.3982077855999995,-0.4765625,-0.0859375,0.5859375
05-18-2020_14-57-29,-7.331608446399999,-2.3976082452,-5.4149575438,0.3828125,0.078125,0.0234375
05-18-2020_14-57-29,-7.3531438497999995,-2.4191436485999995,-5.314458994599999,0.1171875,-0.4375,0.8359375
05-18-2020_14-57-30,-7.3411797368,-2.4430718745999997,-5.292923591199999,0.046875,0.140625,0.625
05-18-2020_14-57-30,-7.343572559399999,-2.3832513096,-5.371886736999999,-0.1015625,-0.0859375,0.4765625
05-18-2020_14-57-30,-7.357929495,-2.428714939,-5.460421173199999,0.078125,0.125,-0.109375
05-18-2020_14-57-30,-7.312465865599999,-2.4358934068,-5.3336015754,0.0234375,-0.0078125,0.1796875
05-18-2020_14-57-30,-7.3005017526,-2.3665015514,-5.2977092364,0.3046875,-0.0625,0.09375
05-18-2020_14-57-30,-7.3052873978,-2.3832513096,-5.371886736999999,-0.34375,0.1328125,0.171875
05-18-2020_14-57-30,-7.3268228012,-2.4358934068,-5.3575298014,-0.0546875,0.21875,0.6796875
05-18-2020_14-57-30,-7.3866433661999995,-2.4670001006,-5.3934221404,0.1328125,0.0625,0.375
05-18-2020_14-57-30,-7.3220371559999995,-2.4047867129999996,-5.386243672599999,-0.28125,0.2109375,0.265625
05-18-2020_14-57-31,-7.350751027199999,-2.4598216327999998,-5.4006006081999995,-0.4609375,-0.1328125,0.1796875
05-18-2020_14-57-31,-7.310073042999999,-2.3832513096,-5.300102058999999,0.0,-0.265625,0.5390625
05-18-2020_14-57-31,-7.357929495,-2.4693929231999996,-5.3551369788,0.1484375,-0.078125,0.0546875
05-18-2020_14-57-31,-7.3603223176,-2.4191436485999995,-5.3575298014,-0.3984375,0.0546875,0.078125
05-18-2020_14-57-31,-7.3292156238,-2.4335005842,-5.374279559599999,-0.1171875,0.1171875,0.40625
05-18-2020_14-57-31,-7.3387869142,-2.4574288101999997,-5.331208752799999,0.25,-0.1875,0.25
05-18-2020_14-57-31,-7.367500785399999,-2.4311077616,-5.371886736999999,-0.4609375,-0.0859375,0.515625
05-18-2020_14-57-31,-7.3363940916,-2.4550359876,-5.3790652048,-0.1953125,0.3203125,0.34375
05-18-2020_14-57-32,-7.5134629639999995,-2.6105694566,-5.422136011599999,-0.4921875,-0.5625,1.0390625
05-18-2020_14-57-32,-7.4177500599999995,-2.5435704238,-5.4173503664,0.0,0.2265625,-0.0703125
05-18-2020_14-57-32,-7.3028945752,-2.4598216327999998,-5.3168518172,-0.3046875,-0.3984375,0.4921875
05-18-2020_14-57-32,-7.348358204599999,-2.464607278,-5.3192446398,0.2109375,-0.0625,0.328125
05-18-2020_14-57-32,-7.3627151402,-2.4430718745999997,-5.350351333599999,0.125,-0.0625,0.3671875
05-18-2020_14-57-32,-7.3531438497999995,-2.4598216327999998,-5.3383872206,-0.1484375,-0.1796875,0.4921875
05-18-2020_14-57-32,-7.355536672399999,-2.4622144554000003,-5.359922623999999,-0.0859375,-0.03125,0.1484375
05-18-2020_14-57-32,-7.3770720758,-2.464607278,-5.326423107599999,-0.1015625,-0.296875,0.3984375
05-18-2020_14-57-32,-7.3651079628,-2.4502503424,-5.352744156199999,-0.265625,-0.2109375,0.28125
05-18-2020_14-57-33,-7.357929495,-2.4335005842,-5.3671010917999995,-0.40625,0.1953125,0.4765625
05-18-2020_14-57-33,-7.3411797368,-2.4574288101999997,-5.3431728658,-0.375,-0.3125,0.515625
05-18-2020_14-57-33,-7.343572559399999,-2.4693929231999996,-5.364708269199999,-0.1640625,0.09375,0.3515625
05-18-2020_14-57-33,-7.355536672399999,-2.4358934068,-5.3407800432,0.0234375,-0.0859375,0.65625
05-18-2020_14-57-33,-7.355536672399999,-2.4670001006,-5.3383872206,-0.125,-0.2578125,0.515625
05-18-2020_14-57-33,-7.357929495,-2.4335005842,-5.3455656884,-0.2890625,-0.1328125,0.046875
05-18-2020_14-57-33,-7.343572559399999,-2.464607278,-5.3575298014,-0.1796875,0.09375,0.2109375
05-18-2020_14-57-33,-7.355536672399999,-2.4693929231999996,-5.3575298014,0.1171875,0.1171875,0.1953125
05-18-2020_14-57-33,-7.343572559399999,-2.4382862293999996,-5.388636495199999,0.109375,0.0,0.3984375
05-18-2020_14-57-34,-7.345965381999999,-2.4454646972,-5.3575298014,-0.5078125,0.015625,0.578125
05-18-2020_14-57-34,-7.350751027199999,-2.4550359876,-5.3455656884,-0.0390625,-0.421875,0.2578125
05-18-2020_14-57-34,-7.348358204599999,-2.4526431649999996,-5.362315446599999,-0.1484375,-0.0703125,0.375
05-18-2020_14-57-34,-7.348358204599999,-2.4358934068,-5.3671010917999995,0.0078125,0.1796875,0.3984375
05-18-2020_14-57-34,-7.343572559399999,-2.4478575198,-5.3431728658,-0.6015625,0.1328125,0.34375
05-18-2020_14-57-34,-7.350751027199999,-2.4574288101999997,-5.3551369788,-0.109375,0.09375,0.3828125
05-18-2020_14-57-34,-7.369893607999999,-2.4382862293999996,-5.3790652048,-0.171875,-0.1796875,0.53125
05-18-2020_14-57-34,-7.3387869142,-2.464607278,-5.335994397999999,-0.296875,0.0703125,0.515625
05-18-2020_14-57-35,-7.3363940916,-2.4478575198,-5.3407800432,-0.1640625,-0.1328125,0.2265625
05-18-2020_14-57-35,-7.357929495,-2.4502503424,-5.359922623999999,0.0,-0.125,0.3671875
05-18-2020_14-57-35,-7.355536672399999,-2.4335005842,-5.364708269199999,-0.171875,-0.0859375,0.4140625
05-18-2020_14-57-35,-7.3531438497999995,-2.4526431649999996,-5.388636495199999,0.0546875,0.2265625,0.3515625
05-18-2020_14-57-35,-7.343572559399999,-2.4574288101999997,-5.3575298014,-0.1328125,0.078125,0.421875
05-18-2020_14-57-35,-7.343572559399999,-2.4406790519999997,-5.331208752799999,-0.0078125,-0.0234375,0.3046875
05-18-2020_14-57-35,-7.350751027199999,-2.4358934068,-5.362315446599999,0.0078125,0.2265625,0.4375
05-18-2020_14-57-35,-7.3531438497999995,-2.4550359876,-5.3551369788,-0.1796875,0.171875,0.3125
05-18-2020_14-57-35,-7.343572559399999,-2.4335005842,-5.3455656884,0.078125,0.3828125,0.5234375
05-18-2020_14-57-36,-7.343572559399999,-2.428714939,-5.350351333599999,-0.2734375,0.046875,0.4765625
05-18-2020_14-57-36,-7.3627151402,-2.4526431649999996,-5.3431728658,-0.0234375,-0.03125,0.3046875
05-18-2020_14-57-36,-7.345965381999999,-2.4454646972,-5.352744156199999,0.3203125,0.25,0.296875
05-18-2020_14-57-36,-7.3411797368,-2.4574288101999997,-5.350351333599999,-0.2265625,-0.171875,0.21875
05-18-2020_14-57-36,-7.348358204599999,-2.4478575198,-5.371886736999999,-0.1953125,0.078125,0.2890625
05-18-2020_14-57-36,-7.3172515108,-2.4239292938,-5.3455656884,-0.4609375,0.140625,0.734375
05-18-2020_14-57-36,-7.345965381999999,-2.428714939,-5.362315446599999,0.28125,-0.0625,0.25
05-18-2020_14-57-36,-7.3770720758,-2.4502503424,-5.371886736999999,-0.109375,-0.421875,0.59375
05-18-2020_14-57-36,-7.357929495,-2.4430718745999997,-5.3383872206,-0.2734375,0.2109375,0.15625
