time,g_x,g_y,g_z,a_x,a_y,a_z
05-18-2020_14-20-17,-7.5349983674,-2.4047867129999996,-5.094319315399999,-0.3203125,-0.078125,-0.03125
05-18-2020_14-20-17,-7.542176835199999,-2.4071795355999996,-5.1158547188,-0.234375,0.1171875,0.390625
05-18-2020_14-20-17,-7.527819899599999,-2.4143580034,-5.1110690735999995,0.234375,0.4140625,0.2578125
05-18-2020_14-20-17,-7.5349983674,-2.4095723581999997,-5.1038906058,-0.15625,0.171875,0.1484375
05-18-2020_14-20-17,-7.5206414318,-2.4095723581999997,-5.1158547188,0.015625,0.28125,0.4296875
05-18-2020_14-20-17,-7.5302127222,-2.4071795355999996,-5.106283428399999,0.2421875,-0.109375,0.40625
05-18-2020_14-20-17,-7.539784012599999,-2.3976082452,-5.1038906058,0.03125,0.4140625,0.71875
05-18-2020_14-20-17,-7.5326055448,-2.3976082452,-5.1110690735999995,-0.3671875,-0.2734375,0.453125
05-18-2020_14-20-17,-7.5182486092,-2.4143580034,-5.1014977832,-0.3125,0.375,0.40625
05-18-2020_14-20-18,-7.527819899599999,-2.4119651807999998,-5.1086762509999994,0.015625,0.1015625,0.15625
05-18-2020_14-20-18,-7.5206414318,-2.3928225999999997,-5.1134618962,0.1328125,0.0390625,0.4921875
05-18-2020_14-20-18,-7.5541409482,-2.4000010678,-5.1254260092,0.015625,-0.265625,0.2734375
05-18-2020_14-20-18,-7.5206414318,-2.4143580034,-5.120640363999999,0.0703125,0.1796875,0.21875
05-18-2020_14-20-18,-7.527819899599999,-2.416750826,-5.096712137999999,-0.25,-0.28125,0.2265625
05-18-2020_14-20-18,-7.525427076999999,-2.4071795355999996,-5.137390122199999,0.015625,-0.078125,0.1484375
05-18-2020_14-20-18,-7.525427076999999,-2.3928225999999997,-5.094319315399999,0.078125,0.203125,0.375
05-18-2020_14-20-18,-7.506284496199999,-2.428714939,-5.118247541399999,0.09375,0.2421875,0.4375
05-18-2020_14-20-19,-7.5326055448,-2.4071795355999996,-5.106283428399999,0.4375,-0.2109375,0.4765625
05-18-2020_14-20-19,-7.5206414318,-2.4095723581999997,-5.1230331866,-0.0234375,0.0546875,-0.0390625
05-18-2020_14-20-19,-7.5517481256,-2.4023938904,-5.120640363999999,-0.2109375,-0.0703125,0.28125
05-18-2020_14-20-19,-7.539784012599999,-2.4143580034,-5.094319315399999,-0.015625,0.0390625,0.078125
05-18-2020_14-20-19,-7.537391189999999,-2.4047867129999996,-5.1397829448,0.015625,0.34375,0.0859375
05-18-2020_14-20-19,-7.5565337708,-2.4047867129999996,-5.137390122199999,-0.3828125,0.078125,0.4609375
05-18-2020_14-20-19,-7.527819899599999,-2.4047867129999996,-5.134997299599999,0.0546875,-0.2109375,0.5625
05-18-2020_14-20-19,-7.527819899599999,-2.4000010678,-5.094319315399999,-0.203125,-0.0546875,0.2265625
05-18-2020_14-20-19,-7.5158557865999995,-2.4215364712,-5.096712137999999,0.0546875,0.015625,0.1796875
05-18-2020_14-20-20,-7.539784012599999,-2.4263221163999997,-5.1421757674,-0.4609375,0.078125,0.390625
05-18-2020_14-20-20,-7.527819899599999,-2.4119651807999998,-5.1254260092,-0.2265625,-0.1484375,0.3359375
05-18-2020_14-20-20,-7.5565337708,-2.4023938904,-5.1134618962,-0.0859375,0.109375,0.109375
05-18-2020_14-20-20,-7.537391189999999,-2.4023938904,-5.118247541399999,0.421875,0.21875,0.5625
05-18-2020_14-20-20,-7.537391189999999,-2.4119651807999998,-5.1014977832,0.1328125,-0.078125,-0.15625
05-18-2020_14-20-20,-7.5110701413999985,-2.4335005842,-5.1110690735999995,-0.2734375,0.2109375,0.0546875
05-18-2020_14-20-20,-7.5158557865999995,-2.3880369548,-5.1134618962,0.0859375,-0.2890625,0.53125
05-18-2020_14-20-20,-7.549355302999999,-2.4095723581999997,-5.096712137999999,-0.171875,0.234375,0.3515625
05-18-2020_14-20-20,-7.537391189999999,-2.3856441321999995,-5.120640363999999,0.125,-0.3125,0.4453125
05-18-2020_14-20-21,-7.5302127222,-2.4119651807999998,-5.099104960599999,-0.15625,0.1171875,0.3125
05-18-2020_14-20-21,-7.5134629639999995,-2.4215364712,-5.1158547188,-0.265625,-0.2109375,0.4140625
05-18-2020_14-20-21,-7.5182486092,-2.4239292938,-5.099104960599999,-0.1171875,0.1171875,0.40625
05-18-2020_14-20-21,-7.5326055448,-2.4143580034,-5.1254260092,0.1484375,-0.046875,0.171875
05-18-2020_14-20-21,-7.5349983674,-2.4215364712,-5.1110690735999995,-0.0859375,-0.046875,0.5546875
05-18-2020_14-20-21,-7.5206414318,-2.3976082452,-5.0895336702,-0.203125,-0.09375,0.359375
05-18-2020_14-20-21,-7.523034254399999,-2.4023938904,-5.134997299599999,-0.0078125,0.078125,0.0234375
05-18-2020_14-20-21,-7.542176835199999,-2.4119651807999998,-5.1086762509999994,0.1640625,-0.2421875,0.1953125
05-18-2020_14-20-21,-7.5517481256,-2.3928225999999997,-5.1278188318,-0.21875,0.015625,0.9296875
05-18-2020_14-20-22,-7.4727849798,-2.3832513096,-5.072783911999999,-0.171875,-0.25,0.5546875
05-18-2020_14-20-22,-7.5302127222,-2.4023938904,-5.1110690735999995,0.15625,0.21875,0.28125
05-18-2020_14-20-22,-7.5302127222,-2.4191436485999995,-5.1445685899999996,-0.1328125,0.3203125,0.4296875
05-18-2020_14-20-22,-7.5134629639999995,-2.3904297774,-5.118247541399999,-0.1328125,0.2578125,0.3828125
05-18-2020_14-20-22,-7.508677318799999,-2.416750826,-5.132604476999999,-0.5625,0.2109375,0.390625
05-18-2020_14-20-22,-7.5134629639999995,-2.3976082452,-5.1110690735999995,-0.359375,0.15625,0.5625
05-18-2020_14-20-22,-7.5565337708,-2.3904297774,-5.120640363999999,-0.203125,-0.03125,0.265625
05-18-2020_14-20-22,-7.525427076999999,-2.3856441321999995,-5.120640363999999,-0.265625,-0.0546875,0.46875
05-18-2020_14-20-22,-7.5349983674,-2.4095723581999997,-5.120640363999999,-0.046875,-0.109375,0.5703125
05-18-2020_14-20-22,-7.525427076999999,-2.3856441321999995,-5.0871408476,-0.171875,-0.1328125,0.3046875
05-18-2020_14-20-23,-7.5517481256,-2.4239292938,-5.1110690735999995,-0.2109375,-0.2734375,0.2421875
05-18-2020_14-20-23,-7.544569657799999,-2.4071795355999996,-5.1134618962,-0.015625,0.0859375,0.28125
05-18-2020_14-20-23,-7.5349983674,-2.4000010678,-5.106283428399999,0.15625,0.0546875,0.453125
