time,g_x,g_y,g_z,a_x,a_y,a_z
08-12-2020_03-45-07,-7.8699935314,-1.3040883169999997,-4.9100719752,-0.0625,-0.03125,0.5859375
08-12-2020_03-45-07,-7.850850950599999,-1.2993026717999998,-4.941178668999999,-0.2265625,-0.109375,0.3046875
08-12-2020_03-45-07,-7.848458128,-1.2969098492,-4.9076791526,0.234375,0.1640625,0.765625
08-12-2020_03-45-07,-7.850850950599999,-1.3016954943999999,-4.9316073786,-0.078125,-0.1484375,0.296875
08-12-2020_03-45-08,-7.858029418399999,-1.2873385588,-4.9340002012,0.15625,0.140625,0.53125
08-12-2020_03-45-08,-7.8436724828,-1.3064811396,-4.9100719752,-0.1328125,0.0546875,0.3125
08-12-2020_03-45-08,-7.8676007087999995,-1.3112667848,-4.9196432655999995,0.1796875,0.4296875,0.3515625
08-12-2020_03-45-08,-7.853243773199999,-1.2969098492,-4.9100719752,0.03125,0.0,0.5625
08-12-2020_03-45-08,-7.886743289599999,-1.2993026717999998,-4.924428910800001,0.1953125,0.21875,0.2421875
08-12-2020_03-45-08,-7.860422241,-1.2945170266000001,-4.9316073786,-0.140625,-0.0546875,0.515625
08-12-2020_03-45-08,-7.8436724828,-1.3112667848,-4.9100719752,0.140625,0.1171875,0.2421875
08-12-2020_03-45-08,-7.860422241,-1.3016954943999999,-4.929214556,-0.03125,0.1953125,0.4765625
08-12-2020_03-45-08,-7.853243773199999,-1.2993026717999998,-4.9172504429999995,0.1640625,-0.1484375,0.5390625
08-12-2020_03-45-09,-7.872386354,-1.3064811396,-4.9196432655999995,-0.3515625,-0.03125,0.203125
08-12-2020_03-45-09,-7.848458128,-1.2969098492,-4.905286329999999,0.0546875,-0.140625,0.171875
08-12-2020_03-45-09,-7.8436724828,-1.3016954943999999,-4.9124647978,-0.0625,-0.03125,0.53125
08-12-2020_03-45-09,-7.853243773199999,-1.3088739621999999,-4.9076791526,0.1796875,0.3046875,0.546875
08-12-2020_03-45-09,-7.862815063599999,-1.2873385588,-4.9196432655999995,0.0234375,-0.2265625,0.2734375
08-12-2020_03-45-09,-7.8460653054,-1.2945170266000001,-4.9316073786,0.125,-0.2421875,0.4453125
08-12-2020_03-45-09,-7.862815063599999,-1.2825529135999998,-4.9005006848,0.0,-0.1484375,0.7734375
08-12-2020_03-45-09,-7.8460653054,-1.2969098492,-4.938785846399999,-0.375,-0.03125,0.546875
08-12-2020_03-45-09,-7.872386354,-1.2921242039999998,-4.929214556,-0.0703125,0.0703125,0.2890625
08-12-2020_03-45-10,-7.865207886199999,-1.2777672683999999,-4.8885365718,-0.1953125,0.09375,0.4296875
08-12-2020_03-45-10,-7.860422241,-1.3016954943999999,-4.9483571368,-0.2109375,-0.109375,0.4140625
08-12-2020_03-45-10,-7.855636595799999,-1.2873385588,-4.941178668999999,-0.0234375,-0.03125,0.2421875
