time,g_x,g_y,g_z,a_x,a_y,a_z
05-18-2020_15-14-35,-7.3411797368,-2.4382862293999996,-5.3814580274,-0.15625,0.0703125,0.09375
05-18-2020_15-14-35,-7.348358204599999,-2.4430718745999997,-5.350351333599999,-0.2734375,0.015625,0.5546875
05-18-2020_15-14-35,-7.3603223176,-2.4502503424,-5.3814580274,-0.0390625,-0.359375,0.140625
05-18-2020_15-14-36,-7.3387869142,-2.4502503424,-5.328815930199999,-0.421875,0.015625,0.6796875
05-18-2020_15-14-36,-7.3411797368,-2.4502503424,-5.3455656884,-0.3359375,-0.296875,0.421875
05-18-2020_15-14-36,-7.355536672399999,-2.4550359876,-5.3790652048,-0.2890625,-0.015625,0.65625
05-18-2020_15-14-36,-7.348358204599999,-2.4358934068,-5.3455656884,-0.2734375,-0.1171875,0.296875
05-18-2020_15-14-36,-7.369893607999999,-2.4430718745999997,-5.3407800432,0.1640625,-0.171875,0.5546875
05-18-2020_15-14-36,-7.3603223176,-2.4430718745999997,-5.335994397999999,0.015625,-0.2109375,0.0625
05-18-2020_15-14-36,-7.343572559399999,-2.4430718745999997,-5.3551369788,0.0625,-0.078125,0.421875
05-18-2020_15-14-36,-7.3363940916,-2.4454646972,-5.3766723822,-0.0234375,-0.25,0.421875
05-18-2020_15-14-36,-7.4943203832,-2.4909283265999997,-5.410171898599999,-0.0625,-0.03125,0.4921875
05-18-2020_15-14-37,-7.439285463399999,-2.6488546182,-5.4723852862,0.0234375,-0.0859375,0.515625
05-18-2020_15-14-37,-7.3363940916,-2.4191436485999995,-5.3407800432,0.0,-0.1015625,0.5
05-18-2020_15-14-37,-7.310073042999999,-2.4526431649999996,-5.335994397999999,-0.0859375,-0.1953125,0.421875
05-18-2020_15-14-37,-7.3746792532,-2.3976082452,-5.388636495199999,-0.109375,-0.1953125,0.609375
05-18-2020_15-14-37,-7.355536672399999,-2.4502503424,-5.331208752799999,-0.125,-0.1328125,0.140625
05-18-2020_15-14-37,-7.343572559399999,-2.4263221163999997,-5.3934221404,-0.03125,0.734375,0.2890625
05-18-2020_15-14-37,-7.3363940916,-2.4550359876,-5.3671010917999995,0.046875,0.1484375,0.21875
05-18-2020_15-14-37,-7.3387869142,-2.3928225999999997,-5.3694939144,-0.0859375,-0.109375,0.4375
05-18-2020_15-14-38,-7.312465865599999,-2.4263221163999997,-5.3431728658,-0.0859375,0.1171875,0.15625
05-18-2020_15-14-38,-7.348358204599999,-2.4717857457999997,-5.391029317799999,0.09375,0.0390625,0.3125
05-18-2020_15-14-38,-7.355536672399999,-2.4454646972,-5.374279559599999,0.015625,-0.1875,0.4609375
05-18-2020_15-14-38,-7.3292156238,-2.4454646972,-5.3671010917999995,-0.140625,-0.0859375,0.59375
05-18-2020_15-14-38,-7.3411797368,-2.428714939,-5.374279559599999,-0.2578125,0.21875,0.3671875
05-18-2020_15-14-38,-7.3387869142,-2.428714939,-5.364708269199999,-0.046875,-0.046875,0.34375
05-18-2020_15-14-38,-7.343572559399999,-2.4311077616,-5.395814963,0.1796875,0.21875,0.3203125
05-18-2020_15-14-38,-7.3387869142,-2.4239292938,-5.3551369788,-0.0625,-0.1171875,0.34375
05-18-2020_15-14-38,-7.343572559399999,-2.4574288101999997,-5.3766723822,0.0234375,-0.140625,0.234375
05-18-2020_15-14-39,-7.334001268999999,-2.4406790519999997,-5.3551369788,0.1875,-0.40625,0.09375
05-18-2020_15-14-39,-7.345965381999999,-2.4454646972,-5.3671010917999995,-0.2890625,-0.0703125,0.3359375
05-18-2020_15-14-39,-7.3387869142,-2.4335005842,-5.3551369788,-0.140625,-0.1171875,0.4140625
05-18-2020_15-14-39,-7.3627151402,-2.4478575198,-5.3575298014,-0.3359375,-0.046875,0.265625
05-18-2020_15-14-39,-7.3363940916,-2.4430718745999997,-5.3455656884,-0.2421875,0.015625,0.4765625
05-18-2020_15-14-39,-7.355536672399999,-2.4335005842,-5.3790652048,-0.1875,-0.1953125,0.109375
05-18-2020_15-14-39,-7.355536672399999,-2.4430718745999997,-5.3575298014,-0.3671875,-0.1484375,0.6328125
05-18-2020_15-14-39,-7.3411797368,-2.4358934068,-5.359922623999999,-0.2421875,-0.0078125,0.515625
