time,g_x,g_y,g_z,a_x,a_y,a_z
05-18-2020_14-21-26,-7.5302127222,-2.3928225999999997,-5.1278188318,-0.5625,-0.1953125,0.3984375
05-18-2020_14-21-26,-7.5206414318,-2.416750826,-5.106283428399999,-0.3828125,0.09375,0.4453125
05-18-2020_14-21-26,-7.5326055448,-2.4095723581999997,-5.1493542352,0.4296875,0.1171875,0.1640625
05-18-2020_14-21-26,-7.5158557865999995,-2.4239292938,-5.1230331866,0.0390625,-0.1015625,0.1328125
05-18-2020_14-21-26,-7.544569657799999,-2.428714939,-5.1110690735999995,0.1328125,0.0625,0.609375
05-18-2020_14-21-26,-7.5326055448,-2.428714939,-5.106283428399999,-0.3125,-0.2109375,0.1640625
05-18-2020_14-21-26,-7.544569657799999,-2.4095723581999997,-5.120640363999999,-0.1484375,0.2109375,0.40625
05-18-2020_14-21-26,-7.527819899599999,-2.4023938904,-5.1134618962,-0.0078125,0.21875,0.703125
05-18-2020_14-21-27,-7.5349983674,-2.4047867129999996,-5.1038906058,0.1328125,0.0390625,0.453125
05-18-2020_14-21-27,-7.5158557865999995,-2.4095723581999997,-5.130211654399999,-0.09375,0.15625,0.2890625
05-18-2020_14-21-27,-7.561319415999999,-2.416750826,-5.1158547188,0.1015625,-0.1015625,0.265625
05-18-2020_14-21-27,-7.527819899599999,-2.4095723581999997,-5.0895336702,-0.5546875,-0.1328125,0.359375
05-18-2020_14-21-27,-7.537391189999999,-2.4095723581999997,-5.106283428399999,-0.2265625,0.2265625,-0.0078125
05-18-2020_14-21-27,-7.5326055448,-2.3976082452,-5.1038906058,0.046875,0.1484375,0.390625
05-18-2020_14-21-27,-7.527819899599999,-2.4382862293999996,-5.1254260092,-0.5546875,-0.1171875,0.1796875
05-18-2020_14-21-27,-7.523034254399999,-2.3832513096,-5.1038906058,0.140625,0.078125,0.296875
05-18-2020_14-21-28,-7.527819899599999,-2.4143580034,-5.1493542352,-0.265625,-0.21875,0.453125
05-18-2020_14-21-28,-7.5182486092,-2.4215364712,-5.1254260092,0.125,-0.34375,0.2265625
05-18-2020_14-21-28,-7.5349983674,-2.3976082452,-5.0895336702,-0.203125,-0.1171875,0.484375
05-18-2020_14-21-28,-7.527819899599999,-2.4358934068,-5.0919264928,-0.09375,0.2578125,0.4609375
05-18-2020_14-21-28,-7.5326055448,-2.4047867129999996,-5.1254260092,-0.4453125,-0.0078125,0.4765625
05-18-2020_14-21-28,-7.527819899599999,-2.4095723581999997,-5.1134618962,0.1171875,0.2421875,0.2734375
05-18-2020_14-21-28,-7.549355302999999,-2.4215364712,-5.0895336702,-0.3125,-0.28125,0.125
05-18-2020_14-21-28,-7.523034254399999,-2.428714939,-5.0895336702,-0.2109375,-0.15625,0.2578125
05-18-2020_14-21-28,-7.537391189999999,-2.4047867129999996,-5.1038906058,-0.0390625,-0.171875,0.421875
05-18-2020_14-21-29,-7.527819899599999,-2.4000010678,-5.1038906058,-0.0546875,0.140625,0.3828125
05-18-2020_14-21-29,-7.527819899599999,-2.4023938904,-5.106283428399999,0.3671875,0.0390625,0.1640625
05-18-2020_14-21-29,-7.544569657799999,-2.4119651807999998,-5.0775695571999995,-0.015625,0.0625,0.296875
05-18-2020_14-21-29,-7.5326055448,-2.4047867129999996,-5.118247541399999,-0.3828125,0.1328125,0.1484375
05-18-2020_14-21-29,-7.5182486092,-2.4143580034,-5.1158547188,0.265625,-0.078125,0.3828125
05-18-2020_14-21-29,-7.544569657799999,-2.4143580034,-5.120640363999999,-0.15625,0.1796875,0.078125
05-18-2020_14-21-29,-7.537391189999999,-2.4215364712,-5.082355202399999,-0.0390625,-0.109375,0.1796875
05-18-2020_14-21-29,-7.542176835199999,-2.4143580034,-5.1134618962,-0.3125,0.03125,0.25
05-18-2020_14-21-29,-7.539784012599999,-2.4000010678,-5.099104960599999,-0.4921875,-0.234375,0.59375
05-18-2020_14-21-30,-7.4943203832,-2.368894374,-5.0679982668,-0.2109375,-0.34375,0.546875
05-18-2020_14-21-30,-7.5517481256,-2.4119651807999998,-5.1014977832,-0.0234375,-0.046875,0.265625
05-18-2020_14-21-30,-7.5302127222,-2.4119651807999998,-5.1254260092,-0.046875,-0.2109375,0.3984375
05-18-2020_14-21-30,-7.5134629639999995,-2.3904297774,-5.060819798999999,-0.078125,-0.171875,0.6875
05-18-2020_14-21-30,-7.542176835199999,-2.4119651807999998,-5.132604476999999,0.03125,0.0,0.3515625
05-18-2020_14-21-30,-7.5182486092,-2.3976082452,-5.118247541399999,-0.0078125,-0.125,0.2734375
05-18-2020_14-21-30,-7.597211754999999,-2.4358934068,-5.1493542352,-0.0546875,-0.0078125,0.4296875
05-18-2020_14-21-30,-7.5158557865999995,-2.4191436485999995,-5.1014977832,-0.2421875,0.09375,0.1875
05-18-2020_14-21-31,-7.5302127222,-2.4071795355999996,-5.096712137999999,0.03125,-0.1484375,0.1328125
05-18-2020_14-21-31,-7.542176835199999,-2.428714939,-5.1110690735999995,0.140625,-0.0078125,0.546875
05-18-2020_14-21-31,-7.523034254399999,-2.4263221163999997,-5.120640363999999,0.046875,0.078125,0.3515625
05-18-2020_14-21-31,-7.525427076999999,-2.3976082452,-5.120640363999999,0.0703125,0.0625,0.390625
05-18-2020_14-21-31,-7.5206414318,-2.4071795355999996,-5.1230331866,-0.171875,-0.2734375,0.3984375
05-18-2020_14-21-31,-7.527819899599999,-2.4191436485999995,-5.1134618962,-0.1796875,0.171875,0.1171875
05-18-2020_14-21-31,-7.647461029599999,-2.2827527603999997,-5.010570524399999,-0.4453125,-1.265625,1.109375
05-18-2020_14-21-31,-7.5349983674,-2.4263221163999997,-5.0871408476,-0.0703125,0.1953125,0.03125
05-18-2020_14-21-31,-7.446463931199999,-2.3353948576,-5.137390122199999,0.125,-0.3125,0.5625
05-18-2020_14-21-32,-7.463213689399999,-2.4382862293999996,-5.1637111708,0.046875,0.390625,0.203125
05-18-2020_14-21-32,-7.5469624803999995,-2.4023938904,-5.132604476999999,-0.3046875,-0.4375,0.703125
05-18-2020_14-21-32,-7.5684978838,-2.3904297774,-5.096712137999999,-0.296875,0.03125,0.34375
