time,g_x,g_y,g_z,a_x,a_y,a_z
02-02-2021_10-26-13,6.7166530382,-5.158925525599999,-5.058426976399999,0.8671875,0.4375,0.7421875
02-02-2021_10-26-13,6.714260215599999,-5.1278188318,-5.0656054442,0.8984375,0.125,0.4375
02-02-2021_10-26-13,6.69990328,-5.1517470578,-5.0775695571999995,0.859375,0.359375,0.6640625
02-02-2021_10-26-13,6.704688925199999,-5.156532702999999,-5.099104960599999,0.375,0.265625,0.5078125
02-02-2021_10-26-13,6.7118673929999995,-5.1517470578,-5.0512485086,0.921875,0.359375,0.6875
02-02-2021_10-26-13,6.702296102599999,-5.132604476999999,-5.0679982668,0.9765625,0.2421875,0.671875
02-02-2021_10-26-13,6.69990328,-5.1421757674,-5.0464628633999995,0.7890625,0.03125,0.8671875
02-02-2021_10-26-13,6.707081747799999,-5.137390122199999,-5.048855686,0.515625,0.2734375,0.6875
02-02-2021_10-26-13,6.714260215599999,-5.1469614126,-5.0512485086,0.8203125,0.359375,0.5
02-02-2021_10-26-13,6.7118673929999995,-5.1397829448,-5.058426976399999,0.5546875,0.2890625,0.75
02-02-2021_10-26-13,6.704688925199999,-5.1445685899999996,-5.0560341538,0.4609375,0.359375,0.3828125
02-02-2021_10-26-13,6.709474570399999,-5.1469614126,-5.082355202399999,0.40625,0.3671875,0.4609375
02-02-2021_10-26-13,6.704688925199999,-5.1493542352,-5.0560341538,0.8203125,0.40625,0.4609375
02-02-2021_10-26-13,6.702296102599999,-5.158925525599999,-5.084748025,0.375,0.3828125,0.6015625
02-02-2021_10-26-13,6.702296102599999,-5.1469614126,-5.0536413312,0.25,0.2421875,0.5078125
02-02-2021_10-26-13,6.6975104574,-5.1445685899999996,-5.0440700408,0.921875,0.1953125,0.3671875
02-02-2021_10-26-13,6.707081747799999,-5.1469614126,-5.082355202399999,0.6015625,0.3125,0.609375
02-02-2021_10-26-14,6.7118673929999995,-5.1661039934,-5.0536413312,1.0625,0.125,0.75
02-02-2021_10-26-14,6.704688925199999,-5.1421757674,-5.0512485086,0.9453125,0.2734375,0.46875
02-02-2021_10-26-14,6.747759732,-5.1421757674,-5.0656054442,1.0546875,0.59375,0.5078125
02-02-2021_10-26-14,6.673582231399999,-5.1756752837999995,-5.0919264928,0.84375,0.1953125,0.265625
02-02-2021_10-26-14,6.6951176348,-5.134997299599999,-5.072783911999999,0.8828125,0.6015625,0.6484375
02-02-2021_10-26-14,6.7214386834,-5.170889638599999,-5.0775695571999995,0.9765625,0.359375,0.5390625
02-02-2021_10-26-14,6.714260215599999,-5.1014977832,-5.000999233999999,0.484375,0.71875,0.1953125
02-02-2021_10-26-14,6.714260215599999,-5.1517470578,-5.0656054442,0.3125,0.265625,0.28125
02-02-2021_10-26-14,6.69990328,-5.1254260092,-5.0512485086,0.3984375,0.5546875,0.328125
02-02-2021_10-26-14,6.738188441599999,-5.1254260092,-5.0512485086,0.796875,0.25,0.640625
02-02-2021_10-26-14,6.747759732,-5.1469614126,-5.0440700408,0.9296875,0.5234375,0.0
02-02-2021_10-26-14,6.7334027964,-5.120640363999999,-5.0321059278,0.3125,0.453125,0.5625
02-02-2021_10-26-14,6.742974086799999,-5.1278188318,-5.0440700408,0.90625,0.3203125,0.15625
02-02-2021_10-26-14,6.723831506,-5.1517470578,-5.0656054442,0.3984375,0.4609375,0.1640625
02-02-2021_10-26-14,6.750152554599999,-5.120640363999999,-5.0799623797999995,0.421875,0.6875,0.2421875
02-02-2021_10-26-14,6.750152554599999,-5.1278188318,-5.058426976399999,1.2265625,0.28125,0.140625
02-02-2021_10-26-14,6.742974086799999,-5.130211654399999,-5.0321059278,0.515625,0.3359375,0.359375
02-02-2021_10-26-15,6.735795619,-5.1134618962,-5.036891572999999,0.296875,0.3125,0.6015625
02-02-2021_10-26-15,6.762116667599999,-5.120640363999999,-5.041677218199999,0.25,0.4609375,0.5078125
02-02-2021_10-26-15,6.750152554599999,-5.120640363999999,-5.0656054442,0.1328125,0.15625,0.1953125
02-02-2021_10-26-15,6.7453669093999995,-5.118247541399999,-5.0512485086,0.640625,0.59375,0.140625
02-02-2021_10-26-15,6.7549381998,-5.1086762509999994,-5.039284395599999,0.9765625,0.453125,0.0390625
02-02-2021_10-26-15,6.759723845,-5.1278188318,-5.0464628633999995,0.46875,0.5703125,0.328125
02-02-2021_10-26-15,6.769295135399999,-5.099104960599999,-5.0297131052,0.6875,0.3828125,0.140625
02-02-2021_10-26-15,6.702296102599999,-5.1134618962,-5.0440700408,0.6015625,0.875,0.328125
02-02-2021_10-26-15,6.800401829199999,-5.099104960599999,-5.0273202826,0.1796875,0.625,-0.0078125
02-02-2021_10-26-15,6.802794651799999,-5.1014977832,-5.0321059278,0.6875,0.2421875,0.2421875
02-02-2021_10-26-15,6.769295135399999,-5.0632126216,-5.0177489922,0.5078125,0.453125,0.15625
02-02-2021_10-26-15,6.7549381998,-5.130211654399999,-5.034498750399999,1.0078125,0.5546875,0.28125
02-02-2021_10-26-15,6.7740807805999985,-5.0895336702,-5.0440700408,1.0390625,0.5859375,0.328125
02-02-2021_10-26-15,6.802794651799999,-5.1014977832,-5.003392056599999,0.203125,0.5234375,0.1796875
02-02-2021_10-26-15,6.802794651799999,-5.0895336702,-5.0321059278,0.8359375,0.640625,0.1171875
02-02-2021_10-26-15,6.783652071,-5.0536413312,-5.0177489922,0.515625,0.4609375,0.0
02-02-2021_10-26-16,6.790830538799999,-5.1110690735999995,-5.0273202826,0.6015625,0.546875,0.140625
02-02-2021_10-26-16,6.8075802969999994,-5.072783911999999,-5.000999233999999,0.1328125,0.1484375,0.3046875
02-02-2021_10-26-16,6.809973119599999,-5.0440700408,-5.0321059278,0.3359375,0.203125,0.5390625
02-02-2021_10-26-16,6.752545377199999,-5.0632126216,-5.082355202399999,0.53125,-0.0546875,0.8359375
02-02-2021_10-26-16,6.809973119599999,-5.0871408476,-5.0321059278,0.78125,-0.125,0.578125
02-02-2021_10-26-16,6.826722877799999,-5.072783911999999,-5.003392056599999,0.8046875,-0.234375,1.4453125
02-02-2021_10-26-16,6.795616184,-5.041677218199999,-5.0297131052,0.9921875,0.34375,1.015625
02-02-2021_10-26-16,6.769295135399999,-5.106283428399999,-5.060819798999999,0.765625,-0.046875,0.8203125
02-02-2021_10-26-16,6.8339013456,-5.072783911999999,-5.0440700408,0.5546875,0.2890625,0.609375
02-02-2021_10-26-16,6.8075802969999994,-5.0656054442,-5.0440700408,0.59375,-0.1015625,1.0
02-02-2021_10-26-16,6.790830538799999,-5.0775695571999995,-5.039284395599999,0.53125,0.1328125,0.8125
02-02-2021_10-26-16,6.7740807805999985,-5.084748025,-5.0297131052,0.7890625,0.21875,0.828125
02-02-2021_10-26-16,6.7764736031999995,-5.096712137999999,-5.0321059278,1.078125,-0.0859375,0.875
02-02-2021_10-26-16,6.771687958,-5.096712137999999,-5.0297131052,0.34375,-0.03125,1.0625
02-02-2021_10-26-16,6.7788664257999995,-5.1038906058,-5.036891572999999,0.5390625,-0.015625,0.7734375
02-02-2021_10-26-16,6.771687958,-5.084748025,-5.0153561695999995,1.2265625,0.28125,0.75
02-02-2021_10-26-17,6.790830538799999,-5.0919264928,-5.022534637399999,0.6484375,-0.0078125,0.5625
02-02-2021_10-26-17,6.7764736031999995,-5.099104960599999,-5.034498750399999,0.421875,0.0546875,0.9375
02-02-2021_10-26-17,6.7549381998,-5.120640363999999,-5.0297131052,0.28125,-0.140625,0.703125
02-02-2021_10-26-17,6.771687958,-5.106283428399999,-5.0440700408,0.5859375,-0.125,0.640625
02-02-2021_10-26-17,6.752545377199999,-5.1038906058,-5.0057848792,0.5234375,-0.2109375,0.90625
