time,g_x,g_y,g_z,a_x,a_y,a_z
05-18-2020_15-06-30,-7.3411797368,-2.4478575198,-5.350351333599999,-0.34375,0.140625,0.421875
05-18-2020_15-06-30,-7.345965381999999,-2.4502503424,-5.364708269199999,-0.2890625,-0.25,0.3359375
05-18-2020_15-06-30,-7.343572559399999,-2.4430718745999997,-5.3431728658,-0.234375,0.2421875,0.5234375
05-18-2020_15-06-30,-7.3531438497999995,-2.4741785684,-5.3671010917999995,0.140625,0.0625,0.3359375
05-18-2020_15-06-30,-7.3244299786,-2.4430718745999997,-5.350351333599999,-0.203125,-0.1796875,0.359375
05-18-2020_15-06-30,-7.355536672399999,-2.4454646972,-5.3814580274,0.109375,0.203125,0.3359375
05-18-2020_15-06-31,-7.3531438497999995,-2.4430718745999997,-5.362315446599999,-0.5390625,-0.25,0.59375
05-18-2020_15-06-31,-7.3531438497999995,-2.4478575198,-5.3694939144,-0.1953125,0.1796875,0.140625
05-18-2020_15-06-31,-7.350751027199999,-2.4622144554000003,-5.3455656884,-0.1328125,0.0078125,0.15625
05-18-2020_15-06-31,-7.355536672399999,-2.464607278,-5.3336015754,0.1328125,0.0234375,0.0234375
05-18-2020_15-06-31,-7.343572559399999,-2.4502503424,-5.362315446599999,0.1015625,-0.453125,0.4609375
05-18-2020_15-06-31,-7.350751027199999,-2.4574288101999997,-5.371886736999999,-0.234375,-0.0078125,0.3125
05-18-2020_15-06-31,-7.3411797368,-2.4454646972,-5.3982077855999995,-0.1640625,-0.046875,0.1015625
05-18-2020_15-06-31,-7.345965381999999,-2.4239292938,-5.3551369788,-0.234375,-0.2734375,0.453125
05-18-2020_15-06-31,-7.348358204599999,-2.4526431649999996,-5.3694939144,0.140625,0.34375,0.453125
05-18-2020_15-06-32,-7.3603223176,-2.4454646972,-5.3671010917999995,-0.7265625,0.140625,0.234375
05-18-2020_15-06-32,-7.357929495,-2.4574288101999997,-5.3766723822,-0.171875,-0.1328125,0.515625
05-18-2020_15-06-32,-7.345965381999999,-2.4454646972,-5.3694939144,0.078125,0.34375,0.2734375
05-18-2020_15-06-32,-7.357929495,-2.4430718745999997,-5.3431728658,-0.265625,-0.234375,0.265625
05-18-2020_15-06-32,-7.355536672399999,-2.4502503424,-5.362315446599999,-0.3359375,0.1171875,0.4296875
05-18-2020_15-06-32,-7.345965381999999,-2.4358934068,-5.362315446599999,-0.0078125,0.1796875,0.3359375
05-18-2020_15-06-32,-7.3603223176,-2.4526431649999996,-5.362315446599999,-0.3125,-0.359375,0.421875
05-18-2020_15-06-32,-7.343572559399999,-2.4311077616,-5.347958510999999,0.015625,0.0859375,0.375
05-18-2020_15-06-33,-7.331608446399999,-2.4574288101999997,-5.3407800432,-0.0703125,0.078125,0.234375
05-18-2020_15-06-33,-7.343572559399999,-2.4598216327999998,-5.359922623999999,0.078125,-0.078125,0.4765625
05-18-2020_15-06-33,-7.345965381999999,-2.4454646972,-5.359922623999999,-0.4921875,-0.296875,0.4140625
05-18-2020_15-06-33,-7.343572559399999,-2.4478575198,-5.38385085,-0.21875,0.0078125,0.09375
05-18-2020_15-06-33,-7.345965381999999,-2.4454646972,-5.3383872206,-0.171875,0.1796875,0.25
05-18-2020_15-06-33,-7.3531438497999995,-2.4358934068,-5.374279559599999,-0.0859375,-0.1484375,0.7265625
05-18-2020_15-06-33,-7.345965381999999,-2.4430718745999997,-5.3694939144,-0.3359375,0.03125,0.34375
05-18-2020_15-06-33,-7.348358204599999,-2.4311077616,-5.362315446599999,0.0,-0.203125,0.59375
05-18-2020_15-06-33,-7.3531438497999995,-2.4478575198,-5.3455656884,-0.1484375,-0.1328125,0.28125
05-18-2020_15-06-34,-7.343572559399999,-2.4502503424,-5.352744156199999,-0.2890625,-0.015625,0.2734375
05-18-2020_15-06-34,-7.357929495,-2.4454646972,-5.362315446599999,-0.3203125,0.2578125,0.25
05-18-2020_15-06-34,-7.345965381999999,-2.4335005842,-5.3407800432,-0.359375,-0.0078125,0.3125
05-18-2020_15-06-34,-7.343572559399999,-2.4478575198,-5.3575298014,-0.015625,0.21875,0.4296875
05-18-2020_15-06-34,-7.357929495,-2.4430718745999997,-5.371886736999999,-0.140625,-0.234375,0.03125
05-18-2020_15-06-34,-7.350751027199999,-2.4382862293999996,-5.3575298014,-0.1953125,0.046875,0.5546875
05-18-2020_15-06-34,-7.348358204599999,-2.4502503424,-5.3551369788,-0.1171875,0.140625,0.40625
05-18-2020_15-06-34,-7.345965381999999,-2.4406790519999997,-5.3671010917999995,-0.265625,-0.296875,0.34375
05-18-2020_15-06-34,-7.3531438497999995,-2.4358934068,-5.359922623999999,-0.109375,-0.21875,0.5703125
